source,target
"Indie Pop, Pop Rock","Pop, Indie"
"Indie Pop, Pop Rock","Country Pop, Indie Pop"
"Indie Pop, Pop Rock","Pop, Indie Pop"
"Indie Pop, Pop Rock","Rock, Indie Pop"
"Indie Pop, Pop Rock","Indie Rock, Indie Pop"
"Indie Pop, Pop Rock","Alternative Rock, Indie Pop, Indie Rock"
"Indie Pop, Pop Rock","Folk Rock, Indie Rock"
"Indie Pop, Pop Rock",Indie pop/rock
"Indie Pop, Pop Rock","Pop, Pop Punk"
"Indie Pop, Pop Rock","Pop, Indie Rock"
"Indie Pop, Pop Rock","Rock, Indie Rock"
"Indie Pop, Pop Rock","Pop, Indie-rock"
"Indie Pop, Pop Rock","Alternative, rock, indie"
"Indie Pop, Pop Rock",Indie pop-rock
"Indie Pop, Pop Rock","Folk-pop, Indie-pop"
"Indie Pop, Pop Rock","Rock, Indie, Alternative"
"Indie Pop, Pop Rock","Pop, K-pop, R&B"
"Indie Pop, Pop Rock","Indie, Alternative"
"Indie Pop, Pop Rock","Punk rock, Indie rock"
"Indie Pop, Pop Rock","Rock, Indie Alternative Rock"
"Indie Pop, Pop Rock","Alternative Rock, Indie Pop"
"Indie Pop, Pop Rock","Rock, Indie & Alternative"
"Indie Pop, Pop Rock","Alternative Rock, Indie Rock, Rock"
"Indie Pop, Pop Rock","Pop, Indie-Rock"
"Indie Pop, Pop Rock","K-pop, Pop Punk"
"Jazz, Soul","Jazz, R&B, Soul"
"Jazz, Soul","Jazz, Soul, R&B"
"Jazz, Blues","Jazz, Blues, Ska"
"Jazz, Blues","Jazz, Blues, Large Ensembles"
"Jazz, Blues","Jazz, Blues, Salsa"
HIP HOP | LATIN | EDM,"Reggaeton, Hip-Hop, Latin EDM"
HIP HOP | LATIN | EDM,"Reggaeton, Hip Hop, Latin"
HIP HOP | LATIN | EDM,"Hip Hop, Latin, EDM"
"Punk, Indie Rock, Alt-Rock","Punk, Indie-rock, Alt-rock"
"Punk, Indie Rock, Alt-Rock","Indie-rock, Alt-rock"
"Punk, Indie Rock, Alt-Rock","Rock, Alt-rock"
"Punk, Indie Rock, Alt-Rock","Indie Rock, Alt-Rock"
"hip-hop, neo-soul","Jazz, Hip Hop, Neo-Soul"
Karaoke,"Karaoke, Emo"
Karaoke,"Dance, Karaoke"
"rock music, live music","music, live music"
"rock music, live music","Rock music, Live music"
"rock music, live music","Music, Live Music"
"Musical, Drama","Musical, Drama, History"
Musical improv,"Musical improv, comedy"
Musical improv,Musical Improv
"Metal, Punk, Rock","Heavy Metal, Punk, Rock"
"Jazz, Funk, R&B, Soul","R&B, jazz, funk, soul"
"Jazz, Funk, R&B, Soul","Jazz, R&B, Funk, Soul"
"Jazz, Funk, R&B, Soul","Jazz, Funk, Soul"
"Jazz, Funk, R&B, Soul","Jazz, Funk, Soul, R&B"
roots-rock,"Roots Rock, Swing"
roots-rock,"Ska, Roots Rock"
roots-rock,Roots rock
"Power Pop, Pop, Pop Punk","Alternative Rock, Rock"
"Power Pop, Pop, Pop Punk","K-pop, Pop"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie"
"Power Pop, Pop, Pop Punk",Indie / Alternative / Rock
"Power Pop, Pop, Pop Punk","indie, alternative"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie Rock, Pop"
"Power Pop, Pop, Pop Punk","Pop, K-Pop"
"Power Pop, Pop, Pop Punk","K-Pop, Pop"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie Rock"
"Power Pop, Pop, Pop Punk","Alternative rock, indie rock"
"Power Pop, Pop, Pop Punk","Pop Rock, Indie Pop"
"Power Pop, Pop, Pop Punk","K-Pop, R&B, Pop"
"Power Pop, Pop, Pop Punk","Pop, Indie"
"Power Pop, Pop, Pop Punk","Country Pop, Indie Pop"
"Power Pop, Pop, Pop Punk","Pop, Indie Pop"
"Power Pop, Pop, Pop Punk","Rock, Indie Pop"
"Power Pop, Pop, Pop Punk","Indie Rock, Indie Pop"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie Pop, Indie Rock"
"Power Pop, Pop, Pop Punk","Folk Rock, Indie Rock"
"Power Pop, Pop, Pop Punk",Indie pop/rock
"Power Pop, Pop, Pop Punk","Pop, Pop Punk"
"Power Pop, Pop, Pop Punk","Pop, Indie Rock"
"Power Pop, Pop, Pop Punk","Rock, Indie Rock"
"Power Pop, Pop, Pop Punk","Pop, Indie-rock"
"Power Pop, Pop, Pop Punk","Alternative, rock, indie"
"Power Pop, Pop, Pop Punk",Indie pop-rock
"Power Pop, Pop, Pop Punk","Folk-pop, Indie-pop"
"Power Pop, Pop, Pop Punk","Rock, Indie, Alternative"
"Power Pop, Pop, Pop Punk","Pop, K-pop, R&B"
"Power Pop, Pop, Pop Punk","Indie, Alternative"
"Power Pop, Pop, Pop Punk","Punk rock, Indie rock"
"Power Pop, Pop, Pop Punk","Rock, Indie Alternative Rock"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie Pop"
"Power Pop, Pop, Pop Punk","Rock, Indie & Alternative"
"Power Pop, Pop, Pop Punk","Alternative Rock, Indie Rock, Rock"
"Power Pop, Pop, Pop Punk","Pop, Indie-Rock"
"Power Pop, Pop, Pop Punk","K-pop, Pop Punk"
"Comedy, Improv, Music","Comedy, Improv, Music, Art"
"Folk, Rock, Soul, Country","Rock, Soul, Country, Latin"
"Art, Nightlife",Nightlife
"Art, Nightlife","Theater, Nightlife"
"Roots music, country, surf, garage rock, psychedelia, alt rock","Roots music, Country, Surf, Garage Rock, Psychedelia, Alt Rock"
"Roots music, country, surf, garage rock, psychedelia, alt rock","roots music, country, spaghetti western, surf, garage rock, psychedelia, alt rock"
"Comedy, Stand-Up",Comedy > Stand Up
"Comedy, Stand-Up",stand up comedy
"Comedy, Stand-Up","Comedy, Stand-Up Comedy"
"Comedy, Stand-Up","Comedy, Stand up"
"Comedy, Stand-Up",stand-up comedy
"Comedy, Stand-Up","Comedy, Stand-up Comedy"
"Comedy, Stand-Up",Stand-up
"Pop, Indie-rock","Alternative Rock, Rock"
"Pop, Indie-rock","K-pop, Pop"
"Pop, Indie-rock","Alternative Rock, Indie"
"Pop, Indie-rock",Indie / Alternative / Rock
"Pop, Indie-rock","indie, alternative"
"Pop, Indie-rock","Alternative Rock, Indie Rock, Pop"
"Pop, Indie-rock","Pop, K-Pop"
"Pop, Indie-rock","K-Pop, Pop"
"Pop, Indie-rock","Alternative Rock, Indie Rock"
"Pop, Indie-rock","Alternative rock, indie rock"
"Pop, Indie-rock","Pop Rock, Indie Pop"
"Pop, Indie-rock","K-Pop, R&B, Pop"
"Pop, Indie-rock","Pop, Indie"
"Pop, Indie-rock","Country Pop, Indie Pop"
"Pop, Indie-rock","Pop, Indie Pop"
"Pop, Indie-rock","Rock, Indie Pop"
"Pop, Indie-rock","Indie Rock, Indie Pop"
"Pop, Indie-rock","Alternative Rock, Indie Pop, Indie Rock"
"Pop, Indie-rock","Folk Rock, Indie Rock"
"Pop, Indie-rock",Indie pop/rock
"Pop, Indie-rock","Pop, Pop Punk"
"Pop, Indie-rock","Pop, Indie Rock"
"Pop, Indie-rock","Rock, Indie Rock"
"Pop, Indie-rock","Alternative, rock, indie"
"Pop, Indie-rock",Indie pop-rock
"Pop, Indie-rock","Folk-pop, Indie-pop"
"Pop, Indie-rock","Rock, Indie, Alternative"
"Pop, Indie-rock","Pop, K-pop, R&B"
"Pop, Indie-rock","Indie, Alternative"
"Pop, Indie-rock","Punk rock, Indie rock"
"Pop, Indie-rock","Rock, Indie Alternative Rock"
"Pop, Indie-rock","Alternative Rock, Indie Pop"
"Pop, Indie-rock","Rock, Indie & Alternative"
"Pop, Indie-rock","Alternative Rock, Indie Rock, Rock"
"Pop, Indie-rock","Pop, Indie-Rock"
"Pop, Indie-rock","K-pop, Pop Punk"
"Music, Dance, Theatre","Dance, Theatre"
"Music, Dance, Theatre","Classical Music, Dance, Theatre"
"Music, Games",Games
"Music, Games",Role-playing games
Live music,"Reggae, live music"
Live music,"Film, Live Music"
Live music,"Live Music, Vinahouse"
Live music,"Polka, Live Music"
Live music,"jazz, live music"
Live music,"Live Music, Q&As"
Live music,live music
Reggaeton,Reggaeton romántico
Reggae-rock,Reggae/Rock
Reggae-rock,Reggae rock
"Indie Folk, Indie Rock","Folk, Indie"
"Indie Folk, Indie Rock","Indie Folk, Indie Rock, Pop"
"Indie Folk, Indie Rock","Folk, Indie-Rock"
"Indie Folk, Indie Rock","Indie Folk, Indie Rock, Indie Alternative"
"Broadway, Family & Education, Music","Broadway, Family & Education, Musical"
"Art, Live Music, Theater & Performance","Live Music, Theater & Performance"
"Art, Live Music, Theater & Performance","Live Music, Theater & Performance, Community"
rock music,Rock Music
rock music,Rock music
Food & Beverage,"Music, Food & Beverage"
Documentary,"Documentary, Music"
Indie-electronic,Indie electronic
"Dance, Theater, Multimedia Performance","Dance, Theater, Multimedia Performance, Contemporary"
"Country, Hip Hop","Country, Hip-hop"
"Country, Hip Hop","Country, Hip-Hop"
"Blues, Soul, Gospel","Soul, Gospel, Americana"
"Blues, Soul, Gospel","Jazz, Soul, Gospel"
"Blues, Soul, Gospel","Soul, Gospel"
"Blues, Soul, Gospel","Soul, R&B, Gospel, Pop"
Trivia,"Trivia, General Knowledge, Music"
Trivia,"Trivia, Music"
dance parties,"edm, dance, parties"
Dance Music,Dance music.
Dance Music,Dance & Music
Dance Music,"Dance, Music"
Dance Music,Dance music
"Bass Music, Dubstep","Bass music, Dubstep"
Visual Art,"Community, Visual Art"
Visual Art,"Murals, Visual Art"
Improvisational Comedy,Improvisational comedy
Circus,"Comedy, Circus"
Circus,"Circus, Music"
"Soul, Doo-wop, R&B",Doo Wop
"Soul, Doo-wop, R&B","Musical, Doo-wop"
"Soul, Doo-wop, R&B","Doo Wop, Broadway"
Arts,Photographic arts
Cultural festival,"Cultural festival, Folk music"
Musical Theater,"Musical Theater, Drag"
Musical Theater,"Hip-hop, musical theater"
Musical Theater,"Musical, Theater"
"Dance, Pop",Dance Pop
"Dance, Pop",Dance-pop
K-Pop,Pop psicodélico
K-Pop,POP
K-Pop,Pop/R&B
K-Pop,"R&B, Pop"
K-Pop,"Pop, R&B"
Country Music,"Country music, Bluegrass"
Country Music,"Country Music, Sertanejo"
Country Music,"Country, Music"
"Alternative Metal, Alternative Rock, Post-Grunge","Alternative rock, post-grunge"
Theater.,"Comedy, Absurdist Theater"
Electronic/Synth,"Electronic/Synth, Ambient"
Electronic/Synth,"Electronic, Synth Pop"
Emo Rock,"Emo, Rock"
Emo Rock,Emo rock
Emo Rock,"R&B, Emo Rock"
"Christmas, Holiday Music",Holiday Music
"Christmas, Holiday Music",Holiday music
"R&B, house",Haunted House
"R&B, house",House
"Classical, Sacred Music","Classical, Sacred"
house/EDM,"Dutch house, EDM"
"Americana, Rock",Americana Rock
"Soul, Funk, R&B","Soul, R&B, Funk"
"Soul, Funk, R&B","Soul, Funk"
"Historical re-enactment, Military.",Historical Commemoration
"Historical re-enactment, Military.","Musical, Historical"
"Historical re-enactment, Military.","Classical, Historical"
"World, Latin",World/Latin
Music & Dance,"Music, Dance, EDM"
Music & Dance,"Music, Dance"
"hip-hop, r&b, amapiano, dancehall, afrobeats","Afrobeats, Hip Hop, Amapiano, Dancehall"
"Pop-punk, Alternative Rock, Hard Rock, Heavy Metal","Rock, Heavy Metal"
"Pop-punk, Alternative Rock, Hard Rock, Heavy Metal","Hard rock, heavy metal"
"Pop-punk, Alternative Rock, Hard Rock, Heavy Metal","Rock, Hard rock, Heavy metal"
"Pop-punk, Alternative Rock, Hard Rock, Heavy Metal","Hard rock, Heavy metal"
"Ska, Roots Rock","Roots Rock, Swing"
"Ska, Roots Rock",Roots rock
"Jazz, Funk, Hip-hop","Jazz, funk, hip-hop, EDM"
"Jazz, Funk, Hip-hop","Jazz, Funk, Hip Hop, Rap"
"Jazz, Funk, Hip-hop","Jazz, Funk, Hip Hop"
Crafts,"Crafts, Art"
"Pop, Indie Rock","Alternative Rock, Rock"
"Pop, Indie Rock","K-pop, Pop"
"Pop, Indie Rock","Alternative Rock, Indie"
"Pop, Indie Rock",Indie / Alternative / Rock
"Pop, Indie Rock","indie, alternative"
"Pop, Indie Rock","Alternative Rock, Indie Rock, Pop"
"Pop, Indie Rock","Pop, K-Pop"
"Pop, Indie Rock","K-Pop, Pop"
"Pop, Indie Rock","Alternative Rock, Indie Rock"
"Pop, Indie Rock","Alternative rock, indie rock"
"Pop, Indie Rock","Pop Rock, Indie Pop"
"Pop, Indie Rock","K-Pop, R&B, Pop"
"Pop, Indie Rock","Pop, Indie"
"Pop, Indie Rock","Country Pop, Indie Pop"
"Pop, Indie Rock","Pop, Indie Pop"
"Pop, Indie Rock","Rock, Indie Pop"
"Pop, Indie Rock","Indie Rock, Indie Pop"
"Pop, Indie Rock","Alternative Rock, Indie Pop, Indie Rock"
"Pop, Indie Rock","Folk Rock, Indie Rock"
"Pop, Indie Rock",Indie pop/rock
"Pop, Indie Rock","Pop, Pop Punk"
"Pop, Indie Rock","Rock, Indie Rock"
"Pop, Indie Rock","Alternative, rock, indie"
"Pop, Indie Rock",Indie pop-rock
"Pop, Indie Rock","Folk-pop, Indie-pop"
"Pop, Indie Rock","Rock, Indie, Alternative"
"Pop, Indie Rock","Pop, K-pop, R&B"
"Pop, Indie Rock","Indie, Alternative"
"Pop, Indie Rock","Punk rock, Indie rock"
"Pop, Indie Rock","Rock, Indie Alternative Rock"
"Pop, Indie Rock","Alternative Rock, Indie Pop"
"Pop, Indie Rock","Rock, Indie & Alternative"
"Pop, Indie Rock","Alternative Rock, Indie Rock, Rock"
"Pop, Indie Rock","Pop, Indie-Rock"
"Pop, Indie Rock","K-pop, Pop Punk"
Christian Music,"Worship, Christian Music"
Christian Music,Christian music
Musical comedy,Musical Comedy
"Alternative, Punk","Alternative, Punk, Rock"
"Country, Folk, Americana, Rock","Folk, Americana, Rock"
"Country, Folk, Americana, Rock","Country, Folk, Americana"
"Country, Folk, Americana, Rock","Pop, Folk, Americana, Rock"
"Hip-hop, R&B",Hip-Hop & R&B
"Hip-hop, R&B",hip hop
"Hip-hop, R&B","hip-hop, R&B"
"Hip-hop, R&B","hip hop, R&B"
"Hip-hop, R&B","Hip-Hop, Classical"
"Hip-hop, R&B",Female hip-hop
"Hip-hop, R&B","Hip-Hop, R&B"
"Hip-hop, R&B","R&B, hip-hop"
"Hip-hop, R&B","Hip-hop, R&B, Soulection, House"
"Hip-hop, R&B",Hip hop
Books & Readings,"Books & Readings, Community"
Drag,drag
"Afrobeat, Latin, World Funk","Latin, World"
"R&B, Funk","Funk, R&B"
"R&B, Funk",introverted funk
"R&B, Funk",Funk
"indie, alternative","Alternative Rock, Rock"
"indie, alternative","K-pop, Pop"
"indie, alternative","Alternative Rock, Indie"
"indie, alternative",Indie / Alternative / Rock
"indie, alternative","Alternative Rock, Indie Rock, Pop"
"indie, alternative","Pop, K-Pop"
"indie, alternative","K-Pop, Pop"
"indie, alternative","Alternative Rock, Indie Rock"
"indie, alternative","Alternative rock, indie rock"
"indie, alternative","Pop Rock, Indie Pop"
"indie, alternative","K-Pop, R&B, Pop"
"indie, alternative","Pop, Indie"
"indie, alternative","Country Pop, Indie Pop"
"indie, alternative","Pop, Indie Pop"
"indie, alternative","Rock, Indie Pop"
"indie, alternative","Indie Rock, Indie Pop"
"indie, alternative","Alternative Rock, Indie Pop, Indie Rock"
"indie, alternative","Folk Rock, Indie Rock"
"indie, alternative",Indie pop/rock
"indie, alternative","Pop, Pop Punk"
"indie, alternative","Rock, Indie Rock"
"indie, alternative","Alternative, rock, indie"
"indie, alternative",Indie pop-rock
"indie, alternative","Folk-pop, Indie-pop"
"indie, alternative","Rock, Indie, Alternative"
"indie, alternative","Pop, K-pop, R&B"
"indie, alternative","Indie, Alternative"
"indie, alternative","Punk rock, Indie rock"
"indie, alternative","Rock, Indie Alternative Rock"
"indie, alternative","Alternative Rock, Indie Pop"
"indie, alternative","Rock, Indie & Alternative"
"indie, alternative","Alternative Rock, Indie Rock, Rock"
"indie, alternative","Pop, Indie-Rock"
"indie, alternative","K-pop, Pop Punk"
"Comedy, Storytelling","comedy, storytelling"
"Jazz, Funk, Fusion",Funk Fusion
"Jazz, Funk, Fusion","Funk, Fusion"
"Music, Performing Arts","Dance, Music, Performing Arts"
"Music, Performing Arts","Music, Performing Arts, Irish"
"Music, Performing Arts","Live music, Performing arts"
Fine Arts,"Fine Arts, Workshops"
Fine Arts,"Workshops, Fine Arts"
Fine Arts,"Fine Arts, Wine"
Fine Arts,"Ballet, Fine Arts"
Fine Arts,"Fine Arts, Art"
House,Haunted House
Opera,Cantonese Opera
Opera,"Opera, Chamber Opera"
Opera,opera
"Burlesque, Variety Show, Queer","Burlesque, Variety Show"
Flamenco,"Flamenco, Pop"
"Indie Rock, Americana, Folk","Rock, Americana"
"Indie Rock, Americana, Folk","Rock, Americana, Folk"
"Indie Rock, Americana, Folk","Pop, Rock, Americana"
"Indie Rock, Americana, Folk","Indie Rock, Americana"
"Funk, Disco, House, Electronic","Funk, Disco, House"
Classic Rock,Classic rock
Classic Rock,"Classic rock, Pop"
"Live Music, Entertainment","Music, Entertainment"
"Alternative, Indie","Indie Pop, Alternative"
"Alternative, Indie","Indie Pop, Alternative Rock"
"Alternative, Indie","Alternative, Indie Rock"
"Alternative, Indie","Pop, Alternative, Indie Pop"
"Alternative, Indie","Alternative, Indie, Rock"
"Alternative, Indie","Alternative, Indie Pop"
"Neo-Soul, Hip-Hop/Rap","Neo-Soul, Hip-Hop/Rap, R&B"
Literature,"Art, Literature"
Literature,"Poetry, Literature"
"Music, Bingo","Drag, Bingo"
"Hip Hop, R&B, Afrobeats","Hip-Hop, R&B, Afrobeats"
"Hip Hop, R&B, Afrobeats",Hip hop; R&B; Afrobeats
Funk,"Funk, R&B"
Funk,introverted funk
"Afrobeats, Dancehall","Afrobeats, dancehall"
"Tech House, House, Electronic","Tech House, House"
"Tech House, House, Electronic",Tech house
"Tech House, House, Electronic","Techno, House, Tech House"
"Tech House, House, Electronic",Tech House
"Tech House, House, Electronic","house, tech-house"
"Tech House, House, Electronic","Tech House, House, Techno"
"Reggaeton, Salsa, Cumbia, Vallenato, Perreo","Reggaeton, Salsa, Cumbia, Vallenato"
"Reggaeton, Salsa, Cumbia, Vallenato, Perreo","Latin, Reggaeton, Salsa, Cumbia, Vallenato"
"Synth-pop, Rock",Synth-pop
"Synth-pop, Rock",Synth pop
Chamber music,Chamber Music
"Afro House, Tech House, House","Global Sounds, Afro House, Tech House, House"
"Pop, hip-hop","K-pop, R&B, Hip-Hop"
"Pop, hip-hop","Pop, Hip-Hop"
"Pop, hip-hop","Pop, Hip-hop"
retro/nostalgia rock,"Dance, Retro"
Blues / Blues Rock,"Blues, Blues-Rock"
"Folk, Rock, Americana, Not provided in source.","Americana, Not provided in source."
"Dubstep, Electronic, Hardcore","Dubstep, Electronic"
"Performance art, Live music","Art, Live Music"
"Rock, Pop","Rock, Pop, R&B"
"Rock, Pop",Rock/Pop
"Hardcore punk, Rock",Hardcore / Punk / Rock
"Hardcore punk, Rock","Post-Hardcore, Hardcore Punk, Rock"
"Hardcore punk, Rock",Hardcore Punk
"Hardcore punk, Rock","Post-hardcore, Punk Rock"
"Blues, Soul, Funk, R&B","Blues, R&B/Soul/Funk"
"Classical, Percussion","Steelpan, Percussion"
"Trivia, Music","Trivia, General Knowledge, Music"
Christmas music,"Pop-punk, Christmas music"
Jam Bands,"Rock, Jam Bands"
Early music,Early Music
"Jazz, Latin Jazz","Jazz, Latin"
"Reggae, Pop, Punk","Reggae, Pop, R&B"
"Reggae, Pop, Punk",Reggae-Pop
Cross-genre,Cross-genre chamber music
Cross-genre,"Chamber music, Cross-genre, Rock, Jazz"
"Latin, Gypsy swing","Gypsy, Swing, Punk Rock"
Afrobeats,"Afrobeats, R&B"
Afrobeats,"R&B, Afrobeats"
"Hip-Hop, R&B",Hip-Hop & R&B
"Hip-Hop, R&B",hip hop
"Hip-Hop, R&B","hip-hop, R&B"
"Hip-Hop, R&B","hip hop, R&B"
"Hip-Hop, R&B","Hip-Hop, Classical"
"Hip-Hop, R&B",Female hip-hop
"Hip-Hop, R&B","R&B, hip-hop"
"Hip-Hop, R&B","Hip-hop, R&B, Soulection, House"
"Hip-Hop, R&B",Hip hop
"Hip Hop, R&B, Not provided in source.","Pop, Hip-hop, R&B, Not provided in source."
"Hip hop, Rap","Electronic, Hip-Hop/Rap"
"Hip hop, Rap",Hip-Hop / Rap
"Hip hop, Rap","Hip-Hop, Rap"
"Hip hop, Rap",Hip-hop/Rap
"Hip hop, Rap",Hip Hop/Rap
"Hip hop, Rap","Hip-Hop/Rap, Jazz"
"Hip hop, Rap","Hip-Hop/Rap, Comedy"
"Hip hop, Rap","Hip-hop, Rap"
"Hip hop, Rap","Hip-Hop/Rap, Indie Rock"
"Hip hop, Rap","Hip Hop, Rap"
Folk-rock,Folk Rock
Folk-rock,"Folk, Rock"
Folk-rock,Folk-Rock
Folk-rock,Folk rock
Folk-rock,"Theater, Folk-Rock"
Latin music,Latin Music
"Alternative, Metal, R&B, Hip-Hop","alternative, metal, R&B, hip-hop"
"Alternative, Metal, R&B, Hip-Hop","Alternative, Metal, Hip Hop"
"Alternative, Metal, R&B, Hip-Hop","Alternative, R&B, Metal, Hip-Hop"
"Electronic, R&B",Electronic R&B
Drama,"Drama, Quiz"
Orchestra,"Orchestra, Music"
Orchestra,"jazz, orchestra"
Reggae-Pop,"Reggae, Pop, R&B"
Standup Comedy,Standup comedy
"Extreme Metal, Death Metal","Extreme metal, Death metal, Punk"
Progressive rock,Progressive Rock
Progressive rock,"Progressive, Rock"
Progressive rock,"Progressive Rock, Alternative"
Dance music.,Dance & Music
Dance music.,"Dance, Music"
Dance music.,Dance music
"Creating & Making, Technology","Creating & Making, Technology, Music, Art"
"Creating & Making, Technology",Creating & Making Technology
"Creating & Making, Technology","Creating & Making, Technology, Art"
"Classical, Chamber Music","Classical, Chamber Music, Jazz"
"roots music, country, spaghetti western, surf, garage rock, psychedelia, alt rock","Roots music, Country, Surf, Garage Rock, Psychedelia, Alt Rock"
"Jazz, Funk, Soul","R&B, jazz, funk, soul"
"Jazz, Funk, Soul","Jazz, R&B, Funk, Soul"
"Jazz, Funk, Soul","Jazz, Funk, Soul, R&B"
"Jazz, R&B, Funk","Jazz, Funk"
"Jazz, R&B, Funk",Jazz Funk
"Jazz, R&B, Funk","Jazz, Funk, R&B"
"Jazz, R&B, Funk","R&B, Jazz, Funk"
Classical music,"Classical, Music"
Classical music,classical music
Classical music,Classical Music
"ambient, neoclassical, electronic, avant-pop","Ambient, Neoclassical, Electronic, Avant-Pop"
"Jazz, Pop",Jazz Pop
"Jazz, Pop","Jazz, Pop, Rock"
Arts & Crafts,"Reggae, Arts & Crafts"
"Pop, Indie, Singer/Songwriter","Indie Rock, R&B, Indie, Singer/Songwriter"
"Pop, Indie, Singer/Songwriter","Folk, Indie, Singer-Songwriter"
Brazilian music,"Brazilian music, International music"
Indie-folk,Indie Folk
Indie-folk,"Indie, Folk"
Indie-folk,Indie folk
Indie-folk,Indie-Folk
Indie-folk,"Indie/Folk, Poetry"
"Music education, Kids",Music Education
"Post-hardcore, Punk Rock",Hardcore / Punk / Rock
"Post-hardcore, Punk Rock","Post-Hardcore, Hardcore Punk, Rock"
"Post-hardcore, Punk Rock",Hardcore Punk
"Hip Hop, Jazz","Hip hop, Jazz"
"Classical, Orchestral","Classical, Orchestral Music"
"Glam metal, Rock",Glam metal
"Soul, Jazz, Pop","Soul, jazz, R&B, pop"
"Live music, performance art","Music, Performance Art"
"A cappella, Barbershop harmony",Barbershop harmony
"Jazz, Dance","Jazz, dance"
"Jazz, Classical","Afro-Peruvian, Jazz, Classical"
"Creating & Making, Technology, Art","Creating & Making, Technology, Music, Art"
"Creating & Making, Technology, Art",Creating & Making Technology
"House, Deep House, Tech House","Afro House, Deep House, Tech House"
Rock 'n' Roll,Rock & Roll
Rock 'n' Roll,Rock ‘n Roll
Rock 'n' Roll,Rock N Roll
Rock 'n' Roll,Rock 'n' roll
"Dance, Contemporary dance","Dance, Contemporary Dance, Classical"
"Dance, Contemporary dance","Dance, Contemporary"
Heavy metal,"Metal, Heavy Metal"
Heavy metal,Heavy Metal
Heavy metal,"EDM, Heavy Metal"
Heavy metal,"Blues, Heavy Metal"
"Art & Museums, Live Music","Art & Museums, Live Music, LGBTQ+"
Hard Rock,Hard rock
"Hip-Hop, R&B, Afrobeats",Hip hop; R&B; Afrobeats
Wine Tasting,"Wine, Wine Tasting, Cocktails"
Wine Tasting,"Comedy, Wine Tasting"
Wine Tasting,"Festivals, Wine Tasting, Comedy"
"Alternative, Post-Punk, New Wave","Alternative, post-punk, new wave"
Retro soul,Retro-soul
Improv Comedy,Improv comedy
Dance Theater,"Interdisciplinary Performance, Dance, Theater"
Dance Theater,"Dance, Theater"
"Punk, Reggae, Ska","Punk, Reggae, Ska, Oi"
"music, performances, entertainment","music, performances, entertainment, fine arts"
"Alternative, Indie, Rock","Indie Pop, Alternative"
"Alternative, Indie, Rock","Indie Pop, Alternative Rock"
"Alternative, Indie, Rock","Alternative, Indie Rock"
"Alternative, Indie, Rock","Pop, Alternative, Indie Pop"
"Alternative, Indie, Rock","Alternative, Indie Pop"
"Rock, Indie Alternative Rock","Alternative Rock, Rock"
"Rock, Indie Alternative Rock","K-pop, Pop"
"Rock, Indie Alternative Rock","Alternative Rock, Indie"
"Rock, Indie Alternative Rock",Indie / Alternative / Rock
"Rock, Indie Alternative Rock","Alternative Rock, Indie Rock, Pop"
"Rock, Indie Alternative Rock","Pop, K-Pop"
"Rock, Indie Alternative Rock","K-Pop, Pop"
"Rock, Indie Alternative Rock","Alternative Rock, Indie Rock"
"Rock, Indie Alternative Rock","Alternative rock, indie rock"
"Rock, Indie Alternative Rock","Pop Rock, Indie Pop"
"Rock, Indie Alternative Rock","K-Pop, R&B, Pop"
"Rock, Indie Alternative Rock","Pop, Indie"
"Rock, Indie Alternative Rock","Country Pop, Indie Pop"
"Rock, Indie Alternative Rock","Pop, Indie Pop"
"Rock, Indie Alternative Rock","Rock, Indie Pop"
"Rock, Indie Alternative Rock","Indie Rock, Indie Pop"
"Rock, Indie Alternative Rock","Alternative Rock, Indie Pop, Indie Rock"
"Rock, Indie Alternative Rock","Folk Rock, Indie Rock"
"Rock, Indie Alternative Rock",Indie pop/rock
"Rock, Indie Alternative Rock","Pop, Pop Punk"
"Rock, Indie Alternative Rock","Rock, Indie Rock"
"Rock, Indie Alternative Rock","Alternative, rock, indie"
"Rock, Indie Alternative Rock",Indie pop-rock
"Rock, Indie Alternative Rock","Folk-pop, Indie-pop"
"Rock, Indie Alternative Rock","Rock, Indie, Alternative"
"Rock, Indie Alternative Rock","Pop, K-pop, R&B"
"Rock, Indie Alternative Rock","Indie, Alternative"
"Rock, Indie Alternative Rock","Punk rock, Indie rock"
"Rock, Indie Alternative Rock","Alternative Rock, Indie Pop"
"Rock, Indie Alternative Rock","Rock, Indie & Alternative"
"Rock, Indie Alternative Rock","Alternative Rock, Indie Rock, Rock"
"Rock, Indie Alternative Rock","Pop, Indie-Rock"
"Rock, Indie Alternative Rock","K-pop, Pop Punk"
"Heavy Metal, Death Metal, Black Metal","Black Metal, Death Metal"
"Heavy Metal, Death Metal, Black Metal",Death Metal
"Heavy Metal, Death Metal, Black Metal",Death metal
"Heavy Metal, Death Metal, Black Metal",Metal / Death Metal
"Heavy Metal, Death Metal, Black Metal","Heavy Metal, Death Metal, Black Metal, Rock"
"Heavy Metal, Death Metal, Black Metal","Death Metal, Black Metal, Heavy Metal"
"Heavy Metal, Death Metal, Black Metal","Metal, Death Metal, Black Metal, Heavy Metal"
